Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
2047,"""WATER QUALITY OF DRAINS""","""N-CHOE (ATTAWA CHOE)""","""CHANDIGARH""",20,29,25.3,0.5,7.1,2.9,7,7.1,7,645,786,717,48,72,60,0.08,0.35,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,"""WATER QUALITY OF DRAINS""","""PATIALA KI RAO""","""CHANDIGARH""",20,28,24,0.8,0.8,0.8,7,7.2,7.1,1026,1089,1058,151,151,151,0.59,1.41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2049,"""WATER QUALITY OF DRAINS""","""SUKHNA CHOE""","""CHANDIGARH""",20,25,22.5,NA,NA,NA,7.2,7.2,7.2,895,922,909,137,147,142,0.45,1.54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377,"""WATER QUALITY OF DRAINS""","""NAJAFGARH DRAIN -WAZIRABAD B/C YAMUNA""","""DELHI""",NA,NA,NA,NA,NA,NA,6.8,7.8,7.3,NA,NA,NA,28,91,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502,"""WATER QUALITY OF DRAINS""","""CIVIL MILL DRAIN, DELHI""","""DELHI""",NA,NA,NA,NA,NA,NA,7.1,7.5,7.3,NA,NA,NA,12,156,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1503,"""WATER QUALITY OF DRAINS""","""POWER HOUSE DRAIN, DELHI""","""DELHI""",NA,NA,NA,NA,NA,NA,7,7.5,7.3,NA,NA,NA,36,139,88.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1504,"""WATER QUALITY OF DRAINS""","""SEN NURSING HOME DRAIN, DELHI""","""DELHI""",NA,NA,NA,NA,NA,NA,7.1,7.5,7.3,NA,NA,NA,30,166,95.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1505,"""WATER QUALITY OF DRAINS""","""BARAPULA DRAIN, DELHI""","""DELHI""",NA,NA,NA,NA,NA,NA,7.2,7.6,7.3,NA,NA,NA,39,87,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1506,"""WATER QUALITY OF DRAINS""","""SHAHDARA DRAIN, DELHI""","""DELHI""",NA,NA,NA,0,2.4,0.2,6.8,8,7.6,NA,NA,NA,12,59,29.8,NA,NA,NA,NA,NA,NA,1500000,1600000000,211830000,NA,NA,NA
1857,"""WATER QUALITY OF DRAINS""","""MAHARANI BAGH DRAIN""","""DELHI""",NA,NA,NA,NA,NA,NA,7.1,7.5,7.2,NA,NA,NA,57,253,132.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,"""WATER QUALITY OF DRAINS""","""SARITA VIHAR, DELHI""","""DELHI""",NA,NA,NA,NA,NA,NA,7.1,7.6,7.4,NA,NA,NA,31,623,235.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,"""WATER QUALITY OF DRAINS""","""CHIKHALI NALLAH MEETS GODAVARI""","""MAHARASHTRA""",25,26,25.2,1.1,6.2,3.8,5.9,7.6,7,355,1915,1190,4.8,30,15.5,0.17,4.98,2.51,22,170,59,60,900,316,NA,NA,NA
2782,"""WATER QUALITY OF DRAINS""","""RABODI NALLAH, RABODI, THANE""","""MAHARASHTRA""",28,34,30.5,1.2,4.7,2.6,6.9,7.4,7.2,386,9630,1342,13,200,89,0.19,4.12,1.55,250,1800,1442,550,1800,1529,NA,NA,NA
2783,"""WATER QUALITY OF DRAINS""","""COLOUR CHEMICAL NALLAH, THANE""","""MAHARASHTRA""",28,34,30.6,0.6,5.2,2.5,7.1,7.5,7.3,1237,3982,2297,7,85,35.5,0.09,4.18,1.58,250,1800,1308,550,1800,1571,NA,NA,NA
2784,"""WATER QUALITY OF DRAINS""","""SANDOZ NALLAH, SANDOZBAUG""","""MAHARASHTRA""",29,32,30.5,1.4,6,3.2,7.3,7.7,7.5,557,2868,1718,9,160,65.2,0.49,6.36,2.66,350,1800,1209,900,1800,1445,NA,NA,NA
2785,"""WATER QUALITY OF DRAINS""","""BPT NAVAPUR (DISCHARGE FROM MIDC TARAPUR), PALGHAR, THANE""","""MAHARASHTRA""",27,30,27.5,NA,NA,NA,5.6,8.3,7.3,4343,7412,5955,110,800,336.7,0.99,27.3,5.18,140,1800,1095,250,1800,1263,NA,NA,NA
2786,"""WATER QUALITY OF DRAINS""","""TARAPUR MIDC NALLA (NR SUMP 1)""","""MAHARASHTRA""",27,30,27.3,NA,NA,NA,4.3,7.4,6.5,1536,9769,4039,44,600,235.3,0.47,4.35,2.04,110,1800,1112,225,1800,1185,NA,NA,NA
2787,"""WATER QUALITY OF DRAINS""","""TARAPUR MIDC NALLA (NR SUMP 2),""","""MAHARASHTRA""",27,30,27.3,1,6.5,4.3,6.3,9.2,7.5,124,7203,2197,6,875,180.4,0.26,6.57,2.2,80,1800,889,250,1800,1038,NA,NA,NA
2788,"""WATER QUALITY OF DRAINS""","""TARAPUR MIDC NALLA (NR SUMP 3),""","""MAHARASHTRA""",27,30,27.5,2.8,2.8,2.8,3.8,9.4,5.9,1789,20570,6545,110,675,312.5,2.3,7.98,3.8,130,1800,797,350,1800,1050,NA,NA,NA
2789,"""WATER QUALITY OF DRAINS""","""NALLA AT DOWNSTREAM OF AKLAI MANDIR, AKLAI, MALSHIRAS, SOLAPUR""","""MAHARASHTRA""",20,38,27.7,1.2,5.1,3.5,7.6,9,8.2,4,2193,1406,7.4,12,9.4,0.22,2.1,0.79,95,350,248,350,1800,1348,NA,NA,NA
2790,"""WATER QUALITY OF DRAINS""","""PIMPAL-PANERI NALLA NR FINOLEXINDST., YAHGANIGAON, RATNAGIRI""","""MAHARASHTRA""",27,29,27.8,4.9,7.6,6.3,5.7,8,7.2,168,1674,1199,2,4.2,2.7,0.45,15.39,2.56,2,9,5,70,220,128,NA,NA,NA
